Capabilties,clean_text
Ability to add an address to a Complaint,ability add address complaint
Ability to add an address to Equipment ,ability add address equipment
Ability to add an address to an Inspection,ability add address inspection
Ability to allow permit holders to request inspections,ability allow permit holder request inspection
Ability to map Inspections,ability map inspection
Ability to Schedule Inspections,ability schedule inspection
Ability to assign inspections,ability assign inspection
Ability to view unassigned inspections,ability view unassigned inspection
Ability to add an address to a Violation,ability add address violation
Ability to answer questions on an inspection checklist on a standalone inspection app,ability answer question inspection checklist standalone inspection app
Ability to load an inspectors checklists for an inspection on a standalone inspections app,ability load inspector checklist inspection standalone inspections app
Ability to access checklists on a standalone app without an active internet connection,ability access checklist standalone app without active internet connection
Ability to correct a violation during an inspection and then close the inspection,ability correct violation inspection close inspection
Ability to add comments on inspections,ability add comment inspection
Ability to create inspections,ability create inspection
Ability to Complete inspections records,ability complete inspection record
"Ability to record complaints on Permits, Licenses, Parcel, Address, Contact or Account ",ability record complaint permit licenses parcel address contact account
"Ability to include case notes, inspection details, lists of violations into generated letters to be sent to responsible parties.",ability include case note inspection detail list violation generate letter send responsible party
"Ability to schedule an initial inspection or a reinspection, with inspections dates either based on the ordinance or entered manually.",ability schedule initial inspection reinspection inspection date either base ordinance enter manually
Ability to upload Photos or other documents as supporting content for the complaints,ability upload photo document support content complaint
Ability to create an inspection on a complaint when an officer is out on field and notices a potential violation.,ability create inspection complaint officer field notice potential violation
Ability to complete an inspection on a stand alone inspections app,ability complete inspection stand alone inspection app
Ability to view an inspectors list of inspection checklists to be completed on a standalone inspections app without an active internet connection,ability view inspectors list inspection checklist complete standalone inspection app without active internet connection
Ability to view a track and view checklists on a standalone app that does not require internet connectivity,ability view track view checklist standalone app require internet connectivity
Ability to view a checklist for an inspection on a standalone inspections app,ability view checklist inspection standalone inspections app
Ability to download a standalone app on a mobile device that tracks inspections,ability download standalone app mobile device track inspection
Ability to close inspections that have an open violation which causes a new inspection to be created (re-inspection). ,ability close inspection open violation cause new inspection create re inspection
Ability to close inspections that do not have any open violations,ability close inspection open violation
Ability to view all the details related to an inspection,ability view detail relate inspection
Ability to schedule an inspection for the violation that you create.,ability schedule inspection violation create
Ability to schedule inspections manually,ability schedule inspection manually
Ability to request inspections manually,ability request inspection manually
Ability schedule inspections automatically based on business rules,ability schedule inspection automatically base business rule
Abilty to limit what permit types will permit inspectors requests from external users,abilty limit permit type permit inspector request external user
Ability to assign inspector to inspection,ability assign inspector inspection
Ability to reassign inspector,ability reassign inspector
Ability to assign inspection to external users,ability assign inspection external user
Ability to view inspector schedules,ability view inspector schedule
Ability to search inspector schedules,ability search inspector schedule
Ability to configure inspection status by type,ability configure inspection status type
Ability to assign inspections manually,ability assign inspection manually
Ability to provide routing options to inspectors,ability provide route option inspector
Ability to enter inspection results from the field,ability enter inspection result field
Ability to configure standard comments for inspections,ability configure standard comment inspection
Ability to select from standard comments in an inspection (future),ability select standard comment inspection future
Ability to add free form comments on inspection,ability add free form comment inspection
Ability for external inspectors to enter inspection results,ability external inspector enter inspection result
Ability to link inspections between permits,ability link inspection permit
ability to view scheduled inspections on portal,ability view schedule inspection portal
Ability to search inspector schedule by date range,ability search inspector schedule date range
Abilty to search inspector schedules by address,abilty search inspector schedule address
Ability to search inspector schedules based on parameters,ability search inspector schedule base parameter
Ability to view inspection results,ability view inspection result
Ability to view electronic signatures on inspections (future),ability view electronic signature inspection future
Ability to add a violation to an inspection,ability add violation inspection
Ability to configure the display of violation codes,ability configure display violation code
Ability to enter comments on inspection,ability enter comment inspection
Ability to add canned comments to inspection,ability add canned comment inspection
Ability to pass or fail an inspection,ability pass fail inspection
Ability to track inspection history by property,ability track inspection history property
Ability to set inspection history requirements by agency,ability set inspection history requirement agency
Ability to complete inspection reports from mobile device,ability complete inspection report mobile device
Ability to pass or fail inspections in bulk (future),ability pass fail inspection bulk future
Ability for other users to add comments on an inspection (future),ability user add comment inspection future
Ability for inspectors to view comments from all users (future),ability inspector view comment user future
Ability to request an inspection from mobile phone,ability request inspection mobile phone
Ability to pay for inspection from mobile phone,ability pay inspection mobile phone
Ability to configure citation based on type of violation,ability configure citation base type violation
Ability to relate fees to a citation,ability relate fee citation
Ability to manage violations from mobile device,ability manage violation mobile device
Ability to manage citations from mobile device,ability manage citation mobile device
Ability to pay for citation from mobile device,ability pay citation mobile device
Ability to create a site visit,ability create site visit
Ability to capture site visit time,ability capture site visit time
Ability to create inspection checklist,ability create inspection checklist
Ability to trigger code case from code violation,ability trigger code case code violation
Ability to create inspection groups,ability create inspection group
Ability to create list of code violations,ability create list code violation
Ability to generate a letter of inspection results,ability generate letter inspection result
Ability to route inspections,ability route inspection
Ability to create inspection dependencies,ability create inspection dependency
Ability to associate fee with failed inspection,ability associate fee fail inspection
Ability to validate contractor license,ability validate contractor license
Abilty to create multiple inspection cycles for a single permit,abilty create multiple inspection cycle single permit
Ability to affect permit process,ability affect permit process
Ability to assign checklist based on inspection type,ability assign checklist base inspection type
Ability to determine the order of inspections,ability determine order inspection
Ability to create a reinspection,ability create reinspection
Ability to enter checklist items,ability enter checklist item
Ability to check the status of an inspection,ability check status inspection
Ability to pay for inspection fee,ability pay inspection fee
Ability to get the results of an inspection,ability get result inspection
Ability to print inspection,ability print inspection
Ability to mark the items that failed on an inspection,ability mark item fail inspection
Ability to schedule inspections by zone,ability schedule inspection zone
Ability to capture video,ability capture video
Ability to update status of inspection,ability update status inspection
Ability to re-assign inspection,ability re assign inspection
Ability to mass re-assign inspections,ability mass re assign inspection
Ability to be notified of assignment,ability notify assignment
Ability to change inspection checklist,ability change inspection checklist
Ability to capture photo,ability capture photo
Ability to schedule inspections by queue,ability schedule inspection queue
Ability to mark steps they have completed on an inspection,ability mark step complete inspection
Ability to view inspections on a map,ability view inspection map
Ability to route inspections by traffic,ability route inspection traffic
Ability to apply video to code violation,ability apply video code violation
Ability to cause plan revision [revised permit/create sub-permit],ability cause plan revision revise permit create sub permit
Ability to apply photo to code violation,ability apply photo code violation
